Amount,Yield,Date
1.7,1.27%,"Apr 29, 2025"
1.97,1.21%,"Jan 30, 2025"
1.75,1.23%,"Oct 30, 2024"
1.76,1.25%,"Jul 30, 2024"
1.59,1.31%,"Apr 29, 2024"
1.91,1.41%,"Jan 30, 2024"
1.58,1.45%,"Oct 30, 2023"
1.64,1.47%,"Jul 30, 2023"
1.51,1.63%,"Apr 27, 2023"
1.78,1.62%,"Jan 30, 2023"
1.6,1.58%,"Oct 30, 2022"
1.58,1.64%,"Jul 28, 2022"
1.37,1.32%,"Apr 28, 2022"
1.64,1.23%,"Jan 30, 2022"
1.43,1.27%,"Oct 28, 2021"
1.38,1.32%,"Jul 29, 2021"
1.28,1.42%,"Apr 29, 2021"
1.58,1.53%,"Jan 28, 2021"
1.34,1.69%,"Oct 29, 2020"
1.37,1.84%,"Jul 30, 2020"
1.41,2.41%,"Apr 29, 2020"
1.57,1.75%,"Jan 30, 2020"
1.38,1.82%,"Oct 30, 2019"
1.43,1.83%,"Jul 30, 2019"
1.23,1.86%,"Apr 29, 2019"
1.44,2.06%,"Jan 30, 2019"
1.32,1.71%,"Oct 30, 2018"
1.25,1.77%,"Jul 30, 2018"
1.1,1.77%,"Apr 29, 2018"
1.35,1.81%,"Jan 30, 2018"
1.23,1.91%,"Oct 30, 2017"
1.18,1.90%,"Jul 30, 2017"
1.03,1.90%,"Apr 27, 2017"
1.33,2.00%,"Jan 30, 2017"
1.08,2.05%,"Oct 30, 2016"
1.08,2.10%,"Jul 28, 2016"
1.05,2.11%,"Apr 28, 2016"
1.21,2.05%,"Jan 28, 2016"
1.03,2.07%,"Oct 29, 2015"
1.03,1.90%,"Jul 30, 2015"
0.93,1.88%,"Apr 29, 2015"
1.13,1.85%,"Jan 29, 2015"
0.94,1.82%,"Oct 30, 2014"
0.94,1.82%,"Jul 30, 2014"
0.82,1.85%,"Apr 29, 2014"
0.98,1.85%,"Jan 30, 2014"
0.84,1.96%,"Oct 30, 2013"
0.84,2.09%,"Jul 30, 2013"
0.69,2.03%,"Apr 29, 2013"
1.02,2.14%,"Jan 30, 2013"
0.78,1.94%,"Oct 30, 2012"
0.69,2.02%,"Jul 30, 2012"
0.61,1.87%,"Apr 29, 2012"
0.77,2.11%,"Jan 30, 2012"
0.62,2.02%,"Oct 30, 2011"
0.63,1.91%,"Jul 28, 2011"
0.55,1.83%,"Apr 28, 2011"
0.65,1.82%,"Jan 30, 2011"
0.6,1.95%,"Oct 28, 2010"
0.53,1.88%,"Jul 29, 2010"
0.48,1.79%,"Apr 29, 2010"
0.59,1.98%,"Jan 28, 2010"
0.51,2.15%,"Oct 29, 2009"
0.52,2.70%,"Jul 30, 2009"
0.56,3.35%,"Apr 29, 2009"
0.72,3.05%,"Jan 29, 2009"
0.69,2.31%,"Oct 30, 2008"
0.67,2.09%,"Jul 30, 2008"
0.64,2.14%,"Apr 29, 2008"
0.78,1.84%,"Jan 30, 2008"
0.72,1.79%,"Oct 30, 2007"
0.66,1.69%,"Jul 30, 2007"
0.55,1.78%,"Apr 29, 2007"
0.79,1.71%,"Jan 30, 2007"
0.58,1.76%,"Oct 30, 2006"
0.56,1.80%,"Jul 30, 2006"
0.52,1.68%,"Apr 27, 2006"
0.67,1.69%,"Jan 30, 2006"
0.52,1.95%,"Oct 30, 2005"
0.49,1.93%,"Jul 28, 2005"
0.47,1.90%,"Apr 28, 2005"
0.57,1.82%,"Jan 30, 2005"
0.35,1.80%,"Dec 01, 2004"
0.47,1.58%,"Oct 28, 2004"
0.41,1.51%,"Jul 29, 2004"
0.39,1.48%,"Apr 29, 2004"
0.52,1.49%,"Jan 29, 2004"
0.4,1.48%,"Oct 30, 2003"
0.36,1.53%,"Jul 30, 2003"
0.35,1.73%,"Apr 29, 2003"
0.44,1.68%,"Jan 30, 2003"
0.38,1.72%,"Oct 30, 2002"
0.35,1.43%,"Jul 30, 2002"
0.33,1.24%,"Apr 29, 2002"
0.39,1.24%,"Jan 30, 2002"
0.37,1.46%,"Oct 30, 2001"
0.35,1.19%,"Jul 30, 2001"
0.32,1.23%,"Apr 29, 2001"
0.41,1.12%,"Jan 30, 2001"
0.38,0.97%,"Oct 30, 2000"
0.35,0.97%,"Jul 30, 2000"
0.37,1.02%,"Apr 27, 2000"
0.35,1.02%,"Jan 30, 2000"
0.37,1.12%,"Oct 28, 1999"
0.41,1.10%,"Jul 29, 1999"
0.32,1.08%,"Apr 29, 1999"
0.39,1.20%,"Jan 28, 1999"
0.36,1.38%,"Oct 29, 1998"
0.35,1.26%,"Jul 30, 1998"
0.31,1.27%,"Apr 29, 1998"
0.38,1.44%,"Jan 30, 1998"
0.35,1.43%,"Oct 30, 1997"
0.35,1.52%,"Jul 30, 1997"
0.3,1.75%,"Apr 29, 1997"
0.37,1.81%,"Jan 30, 1997"
0.35,1.99%,"Oct 30, 1996"
0.35,2.00%,"Jul 30, 1996"
0.29,2.01%,"Apr 29, 1996"
0.38,2.06%,"Jan 30, 1996"
0.31,2.14%,"Oct 30, 1995"
0.32,2.28%,"Jul 30, 1995"
0.27,2.46%,"Apr 27, 1995"
0.36,2.67%,"Jan 30, 1995"
0.29,2.48%,"Oct 30, 1994"
0.31,2.54%,"Jul 28, 1994"
0.27,2.52%,"Apr 28, 1994"
0.32,2.43%,"Jan 30, 1994"
0.29,1.77%,"Oct 28, 1993"
0.32,1.18%,"Jul 29, 1993"
0.21,0.47%,"Apr 29, 1993"
